@relation 7yesSC_con_tra_sz2_it2

@attribute RCC1 numeric
@attribute RCC2 numeric
@attribute RCC3 numeric
@attribute RCC4 numeric
@attribute RCC5 numeric
@attribute RCC6 numeric
@attribute RCC7 numeric
@attribute RCC8 numeric
@attribute RCC9 numeric
@attribute RCC10 numeric
@attribute RCC11 numeric
@attribute RCC12 numeric
@attribute RCC13 numeric
@attribute RCC14 numeric
@attribute RCC15 numeric
@attribute RCC16 numeric
@attribute RCC17 numeric
@attribute RCC18 numeric
@attribute RCC19 numeric
@attribute RCC20 numeric
@attribute RCC21 numeric
@attribute RCC22 numeric
@attribute RCC23 numeric
@attribute RCC24 numeric
@attribute RCC25 numeric
@attribute RCC26 numeric
@attribute RCC27 numeric
@attribute RCC28 numeric
@attribute RCC29 numeric
@attribute RCC30 numeric
@attribute RCC31 numeric
@attribute RCC32 numeric
@attribute RCC33 numeric
@attribute RCC34 numeric
@attribute RCC35 numeric
@attribute RCC36 numeric
@attribute RCC37 numeric
@attribute RCC38 numeric
@attribute RCC39 numeric
@attribute RCC40 numeric
@attribute RCC41 numeric
@attribute RCC42 numeric
@attribute RCC43 numeric
@attribute RCC44 numeric
@attribute RCC45 numeric
@attribute RCC46 numeric
@attribute RCC47 numeric
@attribute RCC48 numeric
@attribute RCC49 numeric
@attribute RCC50 numeric
@attribute RCC51 numeric
@attribute RCC52 numeric
@attribute Class {P,N}

@data
9,2,1,13,12,0,8,1,2,15,40,15,13,35,4,0,1,10,3,6,32,1,0,5,26,5,9,0,1,8,11,3,25,2,5,22,46,13,13,73,11,0,0,5,1,1,30,4,1,6,32,3,P
8,0,2,15,18,1,26,5,1,14,43,10,13,66,1,0,2,8,3,2,23,3,1,11,43,11,7,1,2,17,19,1,24,3,0,16,49,9,11,60,2,0,1,7,4,4,35,5,1,12,44,10,P
4,3,0,5,8,1,8,3,1,10,18,7,11,17,6,0,0,8,6,3,16,2,1,4,22,16,0,0,5,0,0,0,0,1,0,0,2,0,0,13,1,0,0,0,0,0,0,1,0,0,3,0,P
4,0,0,5,12,0,1,0,2,16,6,2,10,3,1,0,4,3,8,3,8,1,0,2,0,34,4,0,0,5,12,0,1,0,2,16,6,2,10,3,1,0,4,3,8,3,8,1,0,2,0,34,P
2,1,0,17,15,2,12,3,1,18,25,5,14,18,5,0,1,3,2,2,6,0,0,1,17,28,4,1,0,12,15,1,10,2,2,16,26,5,13,16,6,0,1,4,3,2,6,0,0,4,16,29,P
6,1,2,3,6,0,7,0,0,4,11,5,1,15,6,0,0,4,0,0,21,2,1,8,18,15,7,1,2,3,6,0,7,0,0,4,13,5,3,18,6,0,0,4,0,1,15,2,1,7,17,15,P
7,1,3,16,27,2,22,3,3,22,61,13,15,56,3,0,2,12,4,4,34,6,2,10,31,9,6,2,3,15,27,1,22,2,4,25,54,15,15,54,5,0,2,9,7,5,43,6,4,11,32,6,P
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,13,8,3,27,36,5,26,5,0,24,63,21,13,48,7,0,3,14,8,12,48,2,1,14,40,16,P
10,4,2,17,25,1,12,1,1,21,64,9,25,46,16,0,0,14,9,6,67,8,4,13,27,65,18,4,0,17,30,2,22,3,1,18,58,6,21,44,13,0,1,11,5,12,63,11,8,14,25,63,P
6,1,0,10,11,1,18,1,2,12,41,7,5,64,7,0,0,5,2,9,33,7,1,9,39,12,8,0,0,10,10,2,14,1,1,16,42,6,4,62,5,0,0,4,1,9,33,9,2,9,38,14,P
0,0,1,5,2,0,6,2,0,4,14,5,4,44,4,0,0,1,0,1,20,0,0,3,22,17,1,1,2,4,2,0,5,1,0,1,12,5,3,54,4,0,0,1,0,2,18,1,1,6,17,17,P
10,4,2,33,38,0,15,0,14,44,52,10,34,31,13,0,3,15,15,7,38,12,4,6,33,75,9,4,2,32,34,0,14,1,14,47,55,8,33,32,12,0,3,16,14,7,37,13,3,6,34,76,P
6,0,0,7,18,0,6,0,1,6,22,4,4,34,8,0,0,2,4,1,13,0,0,7,22,17,1,1,1,3,7,0,4,0,0,8,21,2,4,27,5,0,0,4,3,0,8,0,0,7,21,12,P
12,2,5,26,31,0,17,5,5,29,30,12,16,44,4,0,3,6,13,8,37,16,2,7,17,28,13,3,3,22,21,1,16,9,7,30,35,7,21,45,6,0,0,7,8,6,31,10,0,5,14,30,P
28,3,7,75,97,3,40,5,19,93,144,26,84,72,21,0,10,21,30,17,95,22,7,18,56,128,26,1,7,79,94,3,44,4,14,98,155,31,84,67,21,0,8,22,21,18,97,23,5,15,65,128,P
0,0,0,7,11,3,10,1,1,8,24,7,4,42,2,0,3,9,4,4,19,3,0,6,17,2,0,0,0,4,7,1,9,0,1,7,22,5,7,45,3,0,3,3,4,5,23,5,0,5,18,3,P
